Title,Author,Price(in ₹),Book Format,Rating,Ratings Count,URL
Acts of Desperation: A Stylist Book of 2021 and The Times bestseller,,"1,345
                            
                             .",Hardcover,3.9,,https://www.amazon.in/Acts-Desperation-Megan-Nolan/dp/1787332497/ref=sr_1_127?keywords=best+seller+books&qid=1653311063&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-127
The Drought,,421,Paperback,4.0,,https://www.amazon.in/Drought-J-G-Ballard/dp/0586089969/ref=sr_1_128?keywords=best+seller+books&qid=1653311063&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-128
How to be Famous: The laugh-out-loud Richard & Judy Book Club bestseller to read this summer,Caitlin Moran,332,Paperback,4.4,513,https://www.amazon.in/How-be-Famous-Caitlin-Moran/dp/0091948991/ref=sr_1_129?keywords=best+seller+books&qid=1653311065&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-129
"A Winter Baby for Gin Barrel Lane: A heartwarming, page-turning historical saga from bestseller Lindsey Hutchinson",Lindsey Hutchinson,0,Kindle Edition,4.5,"1,528",https://www.amazon.in/Winter-Baby-Gin-Barrel-Lane-ebook/dp/B0942MBM85/ref=sr_1_130?keywords=best+seller+books&qid=1653311065&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-130
Plan Your Diet Like An Expert,,238,Paperback,4.5,12,https://www.amazon.in/Plan-Your-Diet-Like-Expert/dp/939044280X/ref=sr_1_131?keywords=best+seller+books&qid=1653311065&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-131
Resolve,Perumal Murugan,450,Hardcover,4.8,9,https://www.amazon.in/Resolve-Perumal-Murugan/dp/0670087793/ref=sr_1_132?keywords=best+seller+books&qid=1653311065&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-132
Remarkably Bright Creatures: The compulsively readable instant New York Times Bestseller and BBC Radio Two Book Club Pick,Shelby Van Pelt,"1,520",Paperback,4.7,259,https://www.amazon.in/Remarkably-Bright-Creatures-compulsively-Bestseller/dp/1526649667/ref=sr_1_133?keywords=best+seller+books&qid=1653311065&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-133
"Summer at the Little Wedding Shop: The perfect 2020 summer romance read, a heartwarming romantic comedy of love and laughter: Book 3 (The Little Wedding Shop by the Sea)",Jane Linfoot,202,Paperback,4.7,550,https://www.amazon.in/Summer-Little-Wedding-Shop-hottest/dp/0008197113/ref=sr_1_134?keywords=best+seller+books&qid=1653311065&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-134
Moral Compass: The Sunday Times Number One Bestseller,Danielle Steel,185,Paperback,4.6,"4,181",https://www.amazon.in/Moral-Compass-Danielle-Steel/dp/1509878149/ref=sr_1_135?keywords=best+seller+books&qid=1653311065&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-135
Eloise: The heart-stopping Number One bestseller from the much loved book club champion,Judy Finnigan,138,Paperback,4.1,"1,061",https://www.amazon.in/Eloise-What-secrets-take-grave/dp/075154860X/ref=sr_1_136?keywords=best+seller+books&qid=1653311065&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-136
The Vanishing Half: Sunday Times Bestseller,Brit Bennett,"322
                              
                               .",Hardcover,4.2,"76,949",https://www.amazon.in/Vanishing-Half-bestselling-author-Mothers/dp/0349701466/ref=sr_1_137?keywords=best+seller+books&qid=1653311065&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-137
The Travelling Cat Chronicles: The life-affirming one million copy bestseller,Hiro Arikawa,499,Hardcover,4.6,"2,127",https://www.amazon.in/Travelling-Cat-Chronicles-Hiro-Arikawa/dp/0857526332/ref=sr_1_138?keywords=best+seller+books&qid=1653311065&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-138
"A Daughter’s Ruin: An emotional, gripping and historical new family saga from the top 5 Sunday Times bestseller",Kitty Neale,164,Paperback,4.7,759,https://www.amazon.in/Daughters-Ruin-Kitty-Neale/dp/0008270945/ref=sr_1_139?keywords=best+seller+books&qid=1653311065&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-139
Bestseller,Ahmed Faiyaz,259,Paperback,4.1,256,https://www.amazon.in/Bestseller-Ahmed-Faiyaz/dp/9353332648/ref=sr_1_140?keywords=best+seller+books&qid=1653311065&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-140
Life is What You Make It,Preeti Shenoy,150,Paperback,4.3,"11,507",https://www.amazon.in/Life-What-Make-Preeti-Shenoy/dp/9380349300/ref=sr_1_141?keywords=best+seller+books&qid=1653311065&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-141
The Doorstep Girls: A heart-warming story of triumph over adversity from Sunday Times bestseller Val Wood,Hardcover,120,Paperback,4.6,499,https://www.amazon.in/Doorstep-Girls-Val-Wood/dp/0552171522/ref=sr_1_142?keywords=best+seller+books&qid=1653311065&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-142
If Tomorrow Comes,Sidney Sheldon,294,Paperback,4.5,"2,583",https://www.amazon.in/If-Tomorrow-Comes-Sidney-Sheldon/dp/8172234880/ref=sr_1_143?keywords=best+seller+books&qid=1653311065&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-143
A Family’s Heartbreak: A completely heartbreaking and gripping historical novel from the Sunday Times bestseller,Kitty Neale,152,Paperback,4.7,437,https://www.amazon.in/Familys-Heartbreak-Kitty-Neale/dp/0008270910/ref=sr_1_144?keywords=best+seller+books&qid=1653311065&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-144
"Redwood Bend: The unmissable, heartwarming romance of 2021 and the story behind the Netflix original series. Series 3 streaming now (A Virgin River Novel, Book 16)",,"325
                            
                             .",Kindle Edition,4.7,,https://www.amazon.in/Redwood-Bend-Virgin-River-Novel-ebook/dp/B007NHL25K/ref=sr_1_145?keywords=best+seller+books&qid=1653311066&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-145
Summer in Provence: The perfect escapist feel-good romance from bestseller Lucy Coleman,,450,Paperback,4.3,,https://www.amazon.in/Summer-Provence-Lucy-Coleman/dp/1838897240/ref=sr_1_146?keywords=best+seller+books&qid=1653311066&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-146
Marriage Bargain With His Innocent: Marriage Bargain with His Innocent / Pregnant by the Commanding Greek (Mills & Boon Modern),,170,Paperback,4.0,,https://www.amazon.in/Marriage-Bargain-His-Innocent-Commanding/dp/0263273407/ref=sr_1_147?keywords=best+seller+books&qid=1653311066&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-147
Heart and Soul,,248,Paperback,4.4,,https://www.amazon.in/Heart-Soul-Maeve-Binchy/dp/0752884646/ref=sr_1_148?keywords=best+seller+books&qid=1653311066&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-148
Apple of My Eye: The gripping psychological thriller from the USA Today bestseller,,294,Paperback,4.5,,https://www.amazon.in/Apple-My-Eye-psychological-bestseller/dp/0008275084/ref=sr_1_149?keywords=best+seller+books&qid=1653311066&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-149
Looking for Alaska,,189,Paperback,4.5,,https://www.amazon.in/Looking-Alaska-John-Green/dp/0007523521/ref=sr_1_150?keywords=best+seller+books&qid=1653311066&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-150
The Last Beekeeper: An emotional and gripping new debut historical fiction novel of love and hope,,293,Paperback,3.8,,https://www.amazon.in/Last-Beekeeper-emotional-gripping-historical/dp/0008472882/ref=sr_1_151?keywords=best+seller+books&qid=1653311066&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-151
16 Lighthouse Road: the first book in the hit series Cedar Cove by the international bestseller!,,"269
                            
                             .",Kindle Edition,4.5,,https://www.amazon.in/16-Lighthouse-Road-Debbie-Macomber-ebook/dp/B002RI9RX4/ref=sr_1_152?keywords=best+seller+books&qid=1653311066&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-152
Phantom: The chilling ninth Harry Hole novel from the No.1 Sunday Times bestseller,,"204
                            
                             .",Kindle Edition,4.4,,https://www.amazon.in/Phantom-Harry-Hole-Jo-Nesbo-ebook/dp/B0064BWDRW/ref=sr_1_153?keywords=best+seller+books&qid=1653311066&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-153
"Secrets: An epic, unputdownable read from the worldwide bestseller",,375,Paperback,4.4,,https://www.amazon.in/Secrets-Danielle-Steel/dp/0751543837/ref=sr_1_154?keywords=best+seller+books&qid=1653311066&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-154
Local Girl Missing: The thrilling Sunday Times bestseller from the author of The Couple at No 9,,"188
                              
                               .",Paperback,4.3,,https://www.amazon.in/Local-Girl-Missing-Claire-Douglas/dp/1405926392/ref=sr_1_155?keywords=best+seller+books&qid=1653311066&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-155
Comes the Dark Stranger: The Classic Bestseller,,387,Paperback,4.2,,https://www.amazon.in/Comes-Dark-Stranger-Jack-Higgins/dp/0007274238/ref=sr_1_156?keywords=best+seller+books&qid=1653311066&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-156
"Kim Jiyoung, Born 1982: The international bestseller",,330,Paperback,4.5,,https://www.amazon.in/Kim-Jiyoung-Born-1982-Nam-Joo/dp/1471184307/ref=sr_1_157?keywords=best+seller+books&qid=1653311066&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-157
Walk the Wire (Amos Decker series): The Sunday Times Number One Bestseller,,317,Paperback,4.5,,https://www.amazon.in/Walk-Wire-Decker-David-Baldacci/dp/1509874542/ref=sr_1_158?keywords=best+seller+books&qid=1653311066&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-158
"The Christmas Wedding: The first book in the heartwarming, romance saga from the Sunday Times bestselling author of The Village Scandal: Book 1 (The Village Secrets)",,130,Paperback,4.7,,https://www.amazon.in/Christmas-Wedding-Dilly-Court/dp/0008287759/ref=sr_1_159?keywords=best+seller+books&qid=1653311066&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-159
I See You: The addictive Number One Sunday Times Bestseller,,410,Paperback,4.4,,https://www.amazon.in/See-You-addictive-Number-Bestseller/dp/B09L56HQ6F/ref=sr_1_160?keywords=best+seller+books&qid=1653311066&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-160
The Secret of Volcanic Island,,172,Hardcover,3.0,1,https://www.amazon.in/Secret-Volcanic-Island-Devanshi-Gupta/dp/8184302991/ref=sr_1_161?keywords=best+seller+books&qid=1653311068&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-161
"In the Lion’s Den: A tale of romance and rivalry, the latest Victorian historical fiction novel from the multi-million copy bestselling author of books like A Woman of Substance",Barbara Taylor Bradford,197,Paperback,4.4,"1,226",https://www.amazon.in/Lions-Den-Victorian-historical-Substance/dp/0008242496/ref=sr_1_162?keywords=best+seller+books&qid=1653311068&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-162
The Book of Longings: From the author of the international bestseller THE SECRET LIFE OF BEES,Sue Monk Kidd,511,Paperback,4.5,"8,894",https://www.amazon.in/Book-Longings-author-international-bestseller/dp/1472232518/ref=sr_1_163?keywords=best+seller+books&qid=1653311068&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-163
Animal Farm,George Orwell,69,Paperback,4.6,"36,751",https://www.amazon.in/Animal-Farm-George-Orwell/dp/812911612X/ref=sr_1_164?keywords=best+seller+books&qid=1653311068&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-164
Sowing Secrets: The heartwarming read from the Sunday Times bestseller,Trisha Ashley,80,Paperback,4.5,971,https://www.amazon.in/Sowing-Secrets-Trisha-Ashley/dp/1847563104/ref=sr_1_165?keywords=best+seller+books&qid=1653311068&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-165
Dreams of Gods and Monsters: The Sunday Times Bestseller. Daughter of Smoke and Bone Trilogy Book 3,Laini Taylor,467,Paperback,4.6,"1,876",https://www.amazon.in/Dreams-Gods-Monsters-Bestseller-Daughter/dp/1529353998/ref=sr_1_166?keywords=best+seller+books&qid=1653311068&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-166
Twelve Days in May: The latest debut rom-com of 2022: escape this summer with this funny new beach reach packed with romance and humour!,Niamh Hargan,"835
                           
                            .",Paperback,4.3,73,https://www.amazon.in/Twelve-Days-May-exciting-McFarlane/dp/0008518882/ref=sr_1_167?keywords=best+seller+books&qid=1653311068&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-167
"Maybe One Day: Escape with the most uplifting, romantic and heartwarming must-read book of the year!",Debbie Johnson,358,Paperback,4.5,"2,221",https://www.amazon.in/Maybe-One-Day-Debbie-Johnson/dp/1409187985/ref=sr_1_168?keywords=best+seller+books&qid=1653311068&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-168
Build Your House Around My Body: LONGLISTED FOR THE WOMEN'S PRIZE FOR FICTION 2022,Violet Kupersmith,327,Paperback,3.9,249,https://www.amazon.in/Build-Your-House-Around-Body/dp/0861542142/ref=sr_1_169?keywords=best+seller+books&qid=1653311068&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-169
The Beauty Queen of Jerusalem: A Novel,Sarit Yishai-Levi,"215
                             
                              .",Hardcover,4.3,576,https://www.amazon.in/Beauty-Queen-Jerusalem-Novel/dp/1250078164/ref=sr_1_170?keywords=best+seller+books&qid=1653311068&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-170
The Kite Runner: Tenth anniversary edition,Khaled Hosseini,362,Paperback,4.6,"20,522",https://www.amazon.in/Kite-Runner-Khaled-Hosseini/dp/1408850257/ref=sr_1_171?keywords=best+seller+books&qid=1653311068&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-171
The Girl Who Lied: The bestselling psychological drama,Sue Fortin,340,Paperback,4.0,"2,709",https://www.amazon.in/Girl-Who-Lied-Sue-Fortin/dp/0008194858/ref=sr_1_172?keywords=best+seller+books&qid=1653311068&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-172
"The Fear: The sensational, gripping thriller from the Sunday Times bestseller",C.L. Taylor,268,Paperback,4.4,"1,298",https://www.amazon.in/Fear-C-L-Taylor/dp/0008118094/ref=sr_1_173?keywords=best+seller+books&qid=1653311068&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-173
"The Wives: Secrets, lies and betrayal in the dramatic new bestseller from the author of The Devil Wears Prada: Book 3 (The Devil Wears Prada Series)",Lauren Weisberger,220,Paperback,4.1,766,https://www.amazon.in/Wives-Lauren-Weisberger/dp/0008316309/ref=sr_1_174?keywords=best+seller+books&qid=1653311068&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-174
One Summer In Paris: the brilliantly feel good and uplifting summer romance fiction book from the Sunday Times best seller of A Wedding in December,Sarah Morgan,"286
                           
                            .",Kindle Edition,4.6,834,https://www.amazon.in/One-Summer-Paris-uplifting-bestselling-ebook/dp/B07H2SCZRQ/ref=sr_1_175?keywords=best+seller+books&qid=1653311068&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-175
Queen Bee: The Sunday Times Bestseller and Richard & Judy Book Club Pick 2020,Jane Fallon,449,Paperback,4.2,"5,851",https://www.amazon.in/Queen-Bee-Jane-Fallon/dp/1405943343/ref=sr_1_176?keywords=best+seller+books&qid=1653311068&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-176
Share Market Guide,Sudha Shrimali,299,Paperback,4.1,54,https://www.amazon.in/Share-Market-Guide-Sudha-Shrimali/dp/9353223105/ref=sr_1_177?keywords=best+seller+books&qid=1653311070&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-177
"To You, With Love",Shravya Bhinder,163,Paperback,4.3,237,https://www.amazon.in/You-Love-Shravya-Bhinder/dp/0143450204/ref=sr_1_178?keywords=best+seller+books&qid=1653311070&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-178
The Girl Who Saw It All,Rooprashi,185,Paperback,4.3,237,https://www.amazon.in/Girl-Who-Saw-All/dp/9389600758/ref=sr_1_179?keywords=best+seller+books&qid=1653311070&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-179
Once Upon a Time in Hollywood: The First Novel By Quentin Tarantino,Quentin Tarantino,351,Paperback,4.6,"3,490",https://www.amazon.in/Once-Upon-Time-Hollywood-Tarantino/dp/1398706132/ref=sr_1_180?keywords=best+seller+books&qid=1653311070&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-180
The Lost Apothecary: The New York Times Top Ten Bestseller,Sarah Penner,425,Hardcover,4.2,"21,177",https://www.amazon.in/Lost-Apothecary-York-Times-Bestseller/dp/1789558972/ref=sr_1_181?keywords=best+seller+books&qid=1653311070&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-181
Turn a Blind Eye (William Warwick Novels),Jeffrey Archer,299,Paperback,4.4,"9,057",https://www.amazon.in/Turn-Blind-William-Warwick-Novels/dp/1529065240/ref=sr_1_182?keywords=best+seller+books&qid=1653311070&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-182
"Detransition, Baby: Longlisted for the Women's Prize 2021 and Top Ten The Times Bestseller",Torrey Peters,480,Paperback,4.2,"2,633",https://www.amazon.in/Detransition-Baby-Longlisted-Womens-Bestseller/dp/1788167228/ref=sr_1_183?keywords=best+seller+books&qid=1653311070&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-183
The Best of Dale Carnegie - How to Enjoy Your Life and Job + The Leader in You (Set of 2 Books),Dale Carnegie,241,Paperback,,,https://www.amazon.in/Best-Dale-Carnegie-Enjoy-Leader/dp/B095SPNYFQ/ref=sr_1_184?keywords=best+seller+books&qid=1653311070&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-184
A Patchwork Family: An uplifting and heart-warming novel to cosy up with from the Sunday Times bestseller,Cathy Bramley,209,Paperback,4.6,"2,826",https://www.amazon.in/Patchwork-Family-uplifting-heart-warming-bestseller/dp/1409186733/ref=sr_1_185?keywords=best+seller+books&qid=1653311070&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-185
Dollar Bahu Sudha Murthy,,193,Paperback,4.6,848,https://www.amazon.in/Dollar-Bahu-Sudha-Murthy-Murty/dp/0143103768/ref=sr_1_186?keywords=best+seller+books&qid=1653311070&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-186
"The Golden Girls' Getaway: The perfect feel-good, funny read from USA Today bestseller Judy Leigh for 2022",Judy Leigh,0,Kindle Edition,4.4,"2,963",https://www.amazon.in/Golden-Girls-Getaway-feel-good-bestseller-ebook/dp/B09DV2TBPW/ref=sr_1_187?keywords=best+seller+books&qid=1653311070&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-187
Freed: The #1 Sunday Times bestseller (Fifty Shades Book 6),E L James,"309
                           
                            .",Kindle Edition,4.7,"10,505",https://www.amazon.in/Freed-Sunday-Times-bestseller-Shades-ebook/dp/B08XYD5N7M/ref=sr_1_188?keywords=best+seller+books&qid=1653311070&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-188
"An Unusual Boy: The unforgettable, heart-stopping book club read from USA Today Bestseller Fiona Higgins",Fiona Higgins,"2,104",Paperback,4.4,"4,855",https://www.amazon.in/Unusual-Boy-Fiona-Higgins/dp/1800482973/ref=sr_1_189?keywords=best+seller+books&qid=1653311070&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-189
Nothing Lasts Forever,Sidney Sheldon,"110
                           
                            .",Kindle Edition,4.4,"1,081",https://www.amazon.in/Nothing-Lasts-Forever-Sidney-Sheldon-ebook/dp/B0086VGYXC/ref=sr_1_190?keywords=best+seller+books&qid=1653311070&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-190
Equations,Shivani Sibal,120,Paperback,4.0,72,https://www.amazon.in/Equations-Shivani-Sibal/dp/9354227570/ref=sr_1_191?keywords=best+seller+books&qid=1653311070&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-191
The Chicken Sisters: A Reese's Book Club Pick & New York Times Bestseller,KJ Dell’Antonia,650,Paperback,4.0,"2,935",https://www.amazon.in/Chicken-Sisters-Reeses-Times-Bestseller/dp/1529350646/ref=sr_1_192?keywords=best+seller+books&qid=1653311070&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-192
"Beautiful World, Where Are You: from the internationally bestselling author of Normal People",Sally Rooney,559,Paperback,4.1,"8,684",https://www.amazon.in/Beautiful-World-Where-Are-You/dp/0571365434/ref=sr_1_193?keywords=best+seller+books&qid=1653311072&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-193
