Title,Author,Price(in ₹),Book Format,Rating,Ratings Count,URL
Aakarshan ka Niyam,William Walker Atkinson,135,Paperback,4.5,91,https://www.amazon.in/Aakarshan-Niyam-William-Walker-Atkinson/dp/9353225388/ref=sr_1_26?keywords=best+seller+books&qid=1653311052&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-26
Where the Sun Never Sets (Signed by the author),Stuti Changle,213,Paperback,,,https://www.amazon.in/Where-Never-Sets-Signed-author/dp/014345367X/ref=sr_1_27?keywords=best+seller+books&qid=1653311052&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-27
Train to Pakistan,Khushwant Singh,138,Paperback,4.5,"3,553",https://www.amazon.in/Train-Pakistan-Khushwant-Singh/dp/0143065882/ref=sr_1_28?keywords=best+seller+books&qid=1653311052&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-28
Constance,Rosie Thomas,132,Paperback,4.2,164,https://www.amazon.in/Constance-Rosie-Thomas/dp/0007173563/ref=sr_1_29?keywords=best+seller+books&qid=1653311052&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-29
Hidden in Plain Sight (William Warwick Series# 2) (William Warwick Novels),Jeffrey Archer,279,Paperback,4.4,"11,385",https://www.amazon.in/Hidden-Plain-Sight-William-Warwick/dp/1529040825/ref=sr_1_30?keywords=best+seller+books&qid=1653311052&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-30
On the Open Road (Author Signed Limited Edition): Three Lives. Five Cities. One Dream,Stuti Changle,149,Paperback,4.3,524,https://www.amazon.in/Open-Road-Author-Signed-Limited/dp/0143453688/ref=sr_1_31?keywords=best+seller+books&qid=1653311052&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-31
"Over My Dead Body: The Next Thriller from the Sunday Times Bestselling Author, the Latest Must-Read New Book of 2021 (William Warwick Novels)",Jeffrey Archer,299,Paperback,4.3,"7,511",https://www.amazon.in/Over-Dead-Body-Bestselling-Must-Read/dp/0008476403/ref=sr_1_32?keywords=best+seller+books&qid=1653311052&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-32
Marriage Reclaimed: Marriage at a Distance / Marriage Under Suspicion / The Marriage Truce,,"250
                            
                             .",Kindle Edition,4.2,,https://www.amazon.in/Marriage-Reclaimed-Distance-Under-Suspicion-ebook/dp/B01I9AEG1Q/ref=sr_1_33?keywords=best+seller+books&qid=1653311054&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-33
Pachinko: The New York Times Bestseller,,201,Kindle Edition,4.5,,https://www.amazon.in/Pachinko-Min-Jin-Lee-ebook/dp/B01H3MWEGA/ref=sr_1_34?keywords=best+seller+books&qid=1653311054&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-34
RECKLESS GIRLS: The exciting new psychological crime suspense thriller and New York Times bestseller!,,359,Paperback,4.1,,https://www.amazon.in/Reckless-Girls-exciting-psychological-bestselling/dp/0008495580/ref=sr_1_35?keywords=best+seller+books&qid=1653311054&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-35
"The Life You Left Behind: A breathtaking story of love, loss and happiness from Sunday Times bestseller Debbie Howells",,0,Kindle Edition,4.2,,https://www.amazon.in/Life-You-Left-Behind-breathtaking-ebook/dp/B09MF3ZKNQ/ref=sr_1_36?keywords=best+seller+books&qid=1653311054&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-36
How to Kill Your Family: THE #1 SUNDAY TIMES BESTSELLER,,420,Paperback,4.2,,https://www.amazon.in/How-Kill-Your-Family-BESTSELLER/dp/0008365946/ref=sr_1_37?keywords=best+seller+books&qid=1653311054&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-37
The Push: The Richard & Judy Book Club Choice & Sunday Times Bestseller With a Shocking Twist,,389,Paperback,4.3,,https://www.amazon.in/Push-Mother-Daughter-Monster-bestseller/dp/1405945044/ref=sr_1_38?keywords=best+seller+books&qid=1653311054&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-38
Something I'm Waiting to Tell You: The sequel to the National bestseller Something I Never Told You - ‘Limited-edition digitally signed copies’,,202,Paperback,4.6,,https://www.amazon.in/Something-Waiting-Tell-You-Limited/dp/0143450247/ref=sr_1_39?keywords=best+seller+books&qid=1653311054&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-39
The Satan Bug,,374,Paperback,4.3,,https://www.amazon.in/Satan-Bug-Alistair-MacLean/dp/0008337349/ref=sr_1_40?keywords=best+seller+books&qid=1653311054&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-40
Birthday Girl,,115,Paperback,4.3,,https://www.amazon.in/Birthday-Girl-Haruki-Murakami/dp/1787301257/ref=sr_1_41?keywords=best+seller+books&qid=1653311054&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-41
The Fountain in the Forest,,170,Paperback,3.4,,https://www.amazon.in/Fountain-Forest-Tony-White/dp/0571336183/ref=sr_1_42?keywords=best+seller+books&qid=1653311054&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-42
Let me go: To friendship.....with love,,149,Paperback,4.3,,https://www.amazon.in/Let-me-go-friendship-love/dp/9386538148/ref=sr_1_43?keywords=best+seller+books&qid=1653311054&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-43
I Too Had a Love Story,,199,Paperback,4.4,,https://www.amazon.in/Too-Had-Love-Story-Book/dp/0143418769/ref=sr_1_44?keywords=best+seller+books&qid=1653311054&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-44
How to Make Profit in Share Market (Stock Market Investing Books English) A Winning System in Good Times and Bad (PERSONAL FINANCE & INVESTMENT),,200,Paperback,4.1,,https://www.amazon.in/How-Make-Profit-Share-Market/dp/9353223083/ref=sr_1_45?keywords=best+seller+books&qid=1653311054&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-45
"The Castaways: The Sunday Times bestseller and the most gripping, twisty crime thriller book for 2022",,311,Paperback,4.3,,https://www.amazon.in/Lucy-Clarke-Untitled-Book-1/dp/0008340919/ref=sr_1_46?keywords=best+seller+books&qid=1653311054&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-46
Shadow of the Past,,149,Paperback,4.2,,https://www.amazon.in/Shadow-Past-Mayank-Manohar/dp/9389178223/ref=sr_1_47?keywords=best+seller+books&qid=1653311054&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-47
The Little Coffee Shop of Kabul: The heart-warming and uplifting international bestseller,,467,Paperback,4.3,,https://www.amazon.in/Little-Coffee-Shop-Kabul-heart-warming/dp/075158570X/ref=sr_1_48?keywords=best+seller+books&qid=1653311054&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-48
"Before the Coffee Gets Cold: A Novel (Before the Coffee Gets Cold Series, 1)",,330,Paperback,4.4,,https://www.amazon.in/Before-Coffee-Gets-Toshikazu-Kawaguchi/dp/1529029589/ref=sr_1_49?keywords=best+seller+books&qid=1653311056&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-49
Daughters of War: the most spellbinding escapist historical fiction novel from the No. 1 Sunday Times bestseller: Book 1 (The Daughters of War),,382,Paperback,4.3,,https://www.amazon.in/Daughters-War-spellbinding-historical-bestseller/dp/000842702X/ref=sr_1_50?keywords=best+seller+books&qid=1653311056&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-50
